Cycle start time,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Day Strain,Asleep duration (min),Sleep performance %,Sleep efficiency %
2026-07-13 23:05:00,82,48,78,12.4,510,94,92
2026-07-14 23:40:00,55,54,52,15.1,360,68,85
2026-07-15 23:10:00,68,50,66,13.8,450,86,90
2026-07-16 00:20:00,48,56,45,16.9,330,63,83
2026-07-17 22:55:00,88,46,86,10.2,540,97,94
2026-07-18 23:00:00,82,49,74,14.0,480,91,91
2026-07-19 23:30:00,63,52,58,8.5,390,74,88
2026-07-20 23:15:00,85,47,82,11.0,528,96,93
2026-07-21 22:50:00,63,51,62,14.6,420,80,89
2026-07-22 00:35:00,52,55,48,17.2,348,66,84
2026-07-23 23:05:00,83,48,76,13.1,492,93,92
2026-07-24 00:10:00,57,53,54,15.5,372,70,86
2026-07-25 23:20:00,71,49,70,12.9,468,88,90
2026-07-26 22:45:00,90,45,90,9.8,546,98,95
